"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","489","test_create_order[order3]","tests.orders","Wed Oct 30 16:47:22 MSK 2024","passed","Wed Oct 30 16:47:22 MSK 2024","TestCreateOrder","test_make_order","",""
"","487","test_login_with_incorrect_data","tests.couriers","Wed Oct 30 16:46:24 MSK 2024","passed","Wed Oct 30 16:46:24 MSK 2024","TestCourierLogin","test_login_courier","",""
"","495","test_login_with_incorrect_password","tests.couriers","Wed Oct 30 16:46:52 MSK 2024","passed","Wed Oct 30 16:46:53 MSK 2024","TestCourierLogin","test_login_courier","",""
"","588","test_create_courier_missing_required_fields[password]","tests.couriers","Wed Oct 30 16:45:51 MSK 2024","passed","Wed Oct 30 16:45:52 MSK 2024","TestCourierCreation","test_create_courier","",""
"","575","test_login_missing_login_field","tests.couriers","Wed Oct 30 16:46:24 MSK 2024","passed","Wed Oct 30 16:46:25 MSK 2024","TestCourierLogin","test_login_courier","",""
"","26225","test_get_orders_list_response_without_courier_id","tests.orders","Wed Oct 30 16:46:53 MSK 2024","passed","Wed Oct 30 16:47:19 MSK 2024","TestOrderList","test_get_order_list","",""
"","501","test_create_order[order1]","tests.orders","Wed Oct 30 16:47:21 MSK 2024","passed","Wed Oct 30 16:47:21 MSK 2024","TestCreateOrder","test_make_order","",""
"","977","test_create_courier_with_existing_login","tests.couriers","Wed Oct 30 16:45:53 MSK 2024","passed","Wed Oct 30 16:45:54 MSK 2024","TestCourierCreation","test_create_courier","",""
"","0","test_create_courier_successfully","tests.couriers","Wed Oct 30 16:45:46 MSK 2024","passed","Wed Oct 30 16:45:46 MSK 2024","TestCourierCreation","test_create_courier","",""
"","585","test_create_courier_missing_required_fields[login]","tests.couriers","Wed Oct 30 16:45:49 MSK 2024","passed","Wed Oct 30 16:45:50 MSK 2024","TestCourierCreation","test_create_courier","",""
"","530","test_create_order[order0]","tests.orders","Wed Oct 30 16:47:20 MSK 2024","passed","Wed Oct 30 16:47:21 MSK 2024","TestCreateOrder","test_make_order","",""
"","839","test_get_orders_list_assert_not_empty_response_with_courier_id","tests.orders","Wed Oct 30 16:47:19 MSK 2024","passed","Wed Oct 30 16:47:20 MSK 2024","TestOrderList","test_get_order_list","",""
"","470","test_login_missing_password_field","tests.couriers","Wed Oct 30 16:46:25 MSK 2024","passed","Wed Oct 30 16:46:25 MSK 2024","TestCourierLogin","test_login_courier","",""
"","513","test_create_order[order2]","tests.orders","Wed Oct 30 16:47:21 MSK 2024","passed","Wed Oct 30 16:47:22 MSK 2024","TestCreateOrder","test_make_order","",""
"","975","test_create_duplicate_courier","tests.couriers","Wed Oct 30 16:45:47 MSK 2024","passed","Wed Oct 30 16:45:48 MSK 2024","TestCourierCreation","test_create_courier","",""
"","562","test_courier_login_success","tests.couriers","Wed Oct 30 16:46:23 MSK 2024","passed","Wed Oct 30 16:46:23 MSK 2024","TestCourierLogin","test_login_courier","",""
